ApprovalOrderID,IssuedOn,PDFLink,OwnerName,SourceName,PhysicalStreet,PhysicalCity,PhysicalState,PhysicalZip,SourceContactName,SourceContactPhone,SourceContactEmail,UTM_Easting,UTM_Northing,UTM_Zone,UTM_Datum,SIC_Code,GeneralDescription,NSR_Classification,Source_Classification,Applicable_Federal_Standards,Project_Description,CO2e_TPY,CO_TPY,NOx_TPY,PM10_TPY,PM25_TPY,SO2_TPY,VOC_TPY,Total_HAPs_TPY
DAQE-AN116440010-25,2025-04-03,https://daqpermitting.utah.gov/DocViewer?IntDocID=154185&contentType=application/pdf,"ICU Medical, Inc.","ICU Medical, Inc.- Salt Lake Medical Products Manufacturing(Site ID: 11644)",4455 South Atherton Drive,Taylorsville,UT,84123,Pedro Villarreal,(801) 284-1206,Pedro.Villarreal@icumed.com,422045,4503020,12,NAD83,3841,"ICU Medical, Inc. (ICU) manufactures critical care medical products. Solvent bonding, cleaning, injection molding, and final assembly are used in the manufacturing processes. As parts are assembled, small amounts of solvent are used to bond pieces together. The solvent is stored and dispensed in small , vapor -tight containers that dispense small droplets of solvent onto th e items to be bonded. Small amounts of VOC -containing solvent are used to clean various manufactured plastic products and equipment. Generally, solvents are applied to rags and wiped on the products or equipment. Raw plastic products are formed by injectio n molding. Plastic granules are stored in storage silos until they are pneumatically piped to an injection mold machine storage device. The raw products include polyvinyl chloride, polycarbonate, polypropylene , and other plastics. The VOC content of the pl astic pellets is very small. The plastic pellets are heated in the injection -molding machine and extruded into molds. Once the parts are set and stable, they are pulled from the machine and allowed to cool before being transferred to another part of the fa cility or packaged. Many of the parts are assembled into ready -to-use systems and shipped to medical supply vendors for sale and further dispensing to hospitals.",Minor Modification at Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM 2.5 NAA, Salt Lake County SO 2 NAA Salt Lake County Airs Source Size: B DAQE -AN116440010 -25 Page 4","NSPS (Part 60), A: General Provisio ns NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Sta ndards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines","ICU requested a modification to Condition II.B.4.b of the AO DAQE -AN116440009 -23, dated November 2, 2023 , to increase the VOC emission limitations from 17.66 tpy to 26.02 tpy. ICU is also requesting to increase the HAPs emissions limitation from evaporative activities from 0.8 7 tpy to 7.3 6 tpy, with the overall HAPs emissions being 7.4 6 tpy. No other changes to the equipment list will result from this change in VOC and HAP production.",0.0,0.0,0.0,0.0,0.0,0.0,8.36,6.46
,2022-02-25,https://daqpermitting.utah.gov/DocViewer?IntDocID=128855&contentType=application/pdf,ImageFIRST Healthcare Laundry Specialists,ImageFIRST - Healthcare Laundry Specialists(Site ID: 12255),2295 Custer Road,Salt Lake City,UT,84104,,,,,,,,,,,,,,,,,,,,,
DAQE-AN147750006-23,2023-08-02,https://daqpermitting.utah.gov/DocViewer?IntDocID=138662&contentType=application/pdf,"Innophos, LLC","Innophos, LLC - North Salt Lake Plant(Site ID: 14775)",680 North 700 West,North Salt Lake,UT,84054,,(385) 239-4385,,421856,4522915,12,NAD83,2869,"Innophos , LLC (Innophos) operates the North Salt Lake Dietary Supplements Production Facility. The facility is a nutraceuticals and mineral supplements producer. Food -grade chemical ingredients for the vitamins and supplements are received in powder or liquid form. Dietary supplement production will be conducted in both North and South Buildings. Air-pollutant emitting processes include mixing , grinding, and combustion for drying operations. The South Building includes tray dried and suspension products process and a chilsonation line.",................................ ................................ ................................ .................. 3,................................ ................................ ................................ .............. 3,"MACT (Part 63), A: General Provisions MACT (Part 63), VVVVVV: National Emission Standards for Hazardous Air Pollutants for Chemical Manufacturing Area Sources DAQE -AN147750006 -23 Page 4","Innophos has requested a modification to update equipment, on -site. The modification in cludes: 1. The removal of two hydrotrons (operated 4,015 each or 8,030 hours total) as the equipment is aging out of its useful life. 2. The addition of one new hydrotron (to replace the removed equipment - will operate at 8,760 hours). 3. The removal of particulate emissions from the green pond baghouse, which vents internally. 4. Conditions in II.B.3 were updated from a gallon per year limit to a rolling VOC ton per year limit with an estimated gallon per year use of 10,665 gallons. 5. The requirement to change particulate filters was removed from condition II.B.2.c. This is inherent in compliance with pressure drop and opacity ratings and therefore an antiquated condition. Conditions II.B.2.d and II.B.2.d.1 from the previous AO were removed. The new hydrotr on (wet baghouse) will operate up to 8,760 hours per year, and therefore no hourly limitations are required.",0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0
DAQE-AN143370005-24,2024-07-18,https://daqpermitting.utah.gov/DocViewer?IntDocID=146752&contentType=application/pdf,"Insituform Technologies, Inc.",Insituform Technologies - Wetout Facility(Site ID: 14337),2255 West 850 North,Cedar City,UT,84721,Kyle Rowland,(636) 530-8000,krowland@azuria.com,315588,4173532,12,NAD83,1623,"Insituform Technologies, Inc orporated is a wetout facility that manufactures flexible pipeline liners. This wetout process involves mixing resin with a catalyst in a static mixer and then extruding the mixed resin through a conveyor and into a plastic liner. Flexible pipeline liners are produced in batch operations.",Minor Modification at Minor Source,Located in Attainment Area Iron County Airs Source Size: B,"MACT (Part 63), A : General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines",The source has requested to add three (3) additional resin storage tanks to the A O.,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
DAQE-AN160210002-24,2024-10-29,https://daqpermitting.utah.gov/DocViewer?IntDocID=149736&contentType=application/pdf,Integrated Water Management,Integrated Water Management - Plumb Facility(Site ID: 16021),40.2509536743164 <br />-110.376129150391,Duchesne,UT,84021,Nate Robinson,(435) 454-4646,nrobinson@iwmutah.com,553058,4455798,12,NAD83,1389,"Integrated Water Management (IWM) operates the Plumb and Arcadia Transfer Station Facilities. For permitting purposes, these facilities are considered one source, as per the definition in R307 -101-2. The facilities operate under the same SIC code, are under common control, are adjacent to one another (connected via pipeline), and both stations act as a support facility to the other. Based on DAQ records, the source elected to group these sites into one source. The Plumb Faci lity consists of a produced water injection well and an exploration and production (E&P) landfill. The facility will receive water from the Arcadia Transfer Station via a pipeline, which will be directly injected downhole using an electric pump. The Arcadi a Transfer Station Facility, located about 8 miles west of the Plumb Facility, receives water from industry pipelines. All water received is sent to the Plumb Facility. This facility consists of twenty -five (25) 500 -bbl storage tanks for surge capacity, two (2) electric pumps, and two (2) propane -fired generators.",Minor Modification at Minor Source,Located in Uinta Basin O3 NAA Duchesne County Airs Source Size: B,"NSPS (Part 60), A: General Provisions NSPS (Part 60), JJJJ: Standards of Performance for Stationary Spark Ignition Internal Combustion Engines DAQE -AN160210002 -24 Page 4 MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines","IWM has requested to add twenty -one (21) 500 bbl storage tanks to its Arcadia Facility. The source updated emission estimates from the four (4) existing tanks. IWM additionally requested an administrative change to that facility name to correct a typographical error. The site, previou sly permitted under ""Acadia,"" was updated to the appropriate ""Arcadia .""",0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
DAQE-AN154870003-24,2024-01-10,https://daqpermitting.utah.gov/DocViewer?IntDocID=142350&contentType=application/pdf,Integrated Water Management,Integrated Water Management - Produced Water Facility(Site ID: 15487),40.2719192504883 <br />-110.373153686523,Duchesne,UT,84088,,(435) 828-1259,,553295,4458127,12,NAD83,1389,"Integrated Water Management (IWM) is a produced water and solids treatment facility for the oil and gas production sector. Produced water is received by truck and pipeline from oil and gas operations. The water then undergoes phase separation using tanks and centrifuges for the recovery of oil and condensate. The remaining water is then injected into a well on -site or discharged into evaporation ponds when necessary. Water entering the evaporation ponds remains until it has been evaporated into the atmosphere or injecte d as necessary. Recovered oil and condensate are stored on -site in tanks before being trucked off-site for sale. In addition to the produced water operations the facility will treat contaminated soils received from spills and other oil and gas production operations. The contaminated soils will be land applied, watered, and tilled regularly or permanently disposed of in the landfill to minimize emissions to the atmosphere.",Minor Modification at Minor Source,Located in Uinta Basin O3 NAA Duchesne County Airs Source Size: B,"NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines DAQE -AN154870003 -24 Page 4 MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines",IWM has requested to add four (4) 500 bbl storage tanks to the water rece iving side of its produced water facility. No changes to IWM's oil cleaning process will happen as a result of this NOI.,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
DAQE-AN107650001-23,2023-04-25,https://daqpermitting.utah.gov/DocViewer?IntDocID=136566&contentType=application/pdf,Intermountain Concrete Company,Intermountain Concrete Company- Vernal Pit(Site ID: 10765),625 E Main Street,Vernal,UT,84078,,(435) 828-1601,,625744,4479437,12,NAD83,3273,"Intermountain Concrete Company operates a concrete batch plant in Vernal, Uintah County. Aggregate is transported to the plant by trucks and stored in piles throughout the property. The material is then dropped through the stationary grizzly and then transported to the surge bin. There are two silos behind the plant that contain eit her fly ash or cement powder. The aggregate, cement powder, and/or fly ash are weighed and mixed according to specifications. When mixing is complete, the mix is dropped gravimetrically into the staged cement mix trucks, where water is added. The concre te is continually mixed en -route to the specified work site. On -site emissions are minimized by water sprays. Concrete powder dust is controlled by the dust collector which is activated while the concrete powder is being loaded into the storage silo.",10-Year Review,Located in Uinta Basin O3 NAA Uintah County Airs Source Size: B,None,,,2.0,,10.0,2.5,,,
DAQE-AN129430002-23,2023-08-21,https://daqpermitting.utah.gov/DocViewer?IntDocID=139147&contentType=application/pdf,Intermountain Health Care,Intermountain Health Care- McKay Dee Hospital in Ogden(Site ID: 12943),4401 Harrison Blvd,Ogden,UT,84403,,(801) 387-3748,,419982,4559574,12,NAD83,8062,"Intermountain Health Care (IHC ) McKay Dee Hospital is located in Ogden, Weber County. The existing facility consists of three boilers, three emergency generators, and an ethylene oxide sterilization unit.",................................ ................................ ................................ .................. 3,................................ ................................ ................................ .............. 3,"NSPS (Part 60), A: General Provisions NSPS (Part 60), Dc: Standards of Performance for Small Industrial -Commercial -Institutional Steam Generating Units MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardou s Air Pollutants for Stationary Reciprocating Internal Combustion Engines Title V (Part 70) Area Source DAQE -AN129430002 -23 Page 4",................................ ................................ ................................ .................. 4,,,,,,,,
DAQE-AN141630003-25,2025-06-25,https://daqpermitting.utah.gov/DocViewer?IntDocID=155978&contentType=application/pdf,Intermountain Health Care,Intermountain Health Care- Park City Medical Center(Site ID: 14163),900 Round Valley Drive,Park City,UT,84060,Jim Blankenau,(801) 484-6114,james.blankenau@imail.org,460400,4504219,12,NAD83,8062,"Intermountain Health Care operates a full -service hospital at the Park City Medical Center. Steam boilers are used for medi cal device sterilization, comfort heating, domestic hot water, and humidification. Heating and emergency power equipment is housed in a Central Utility Plant (CUP) attached to the hospital and medical office building. An Ambulatory Surgical Center (ASC) wa s recently added to the south side of the hospital. The ASC houses a new emergency generator and natural gas -fired boilers.",Minor Modification at Minor Source,Located in Attainment Area Summit County Airs Source Size: B,"NSPS (Part 60), A: General Provisions NSPS (Part 60), Dc: Standards of Performance for Small Industrial -Commercial -Institutional Steam Generating Units NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions DAQE -AN141630003 -25 Page 4 MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocat ing Internal Combustion Engines Title V (Part 70) Area Source","The source has requested the following modifications to its A O: 1. Add One (1) 300 kW (402 hp) Emergency Diesel Generator 2. Add Four (4) Natur al Gas -Fired Boilers rated less than 5 MMBtu/hr 3. Add One (1) 15,000 -gal Underground Storage Tank (UST) 4. Update site -wide emission calculations .",23611.0,-11.19,0.45,-0.01,1.54,-0.74,-1.43,0.09
DAQE-AN104610002-25,2025-02-06,https://daqpermitting.utah.gov/DocViewer?IntDocID=152616&contentType=application/pdf,Intermountain Health Care,Intermountain Health Primary Children's Hospital - Primary Children's Medical Center(Site ID: 10461),383 West Street,Murray,UT,84123,Joseph Christensen,(385) 454-5425,joseph.christensen@imail.org,429200,4513700,12,NAD83,8069,"Intermountain Healthcare - Primary Children's Hospital owns and operates a specialty care facility in Salt Lake City. The facility contains four (4) diesel -fired generators to provide emergency power during a line power outage. Also, on site are two (2) dual fuel boilers that are equipped with diesel fuel back up. The boilers are used to make steam or hot water for the hospital.",10-Year Review,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM 2.5 NAA, Salt La ke County SO 2 NAA Salt Lake County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), Dc: Standards of Performance for Small Industrial -Commercial -Institutional Steam Generating Units NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines DAQE -AN104610002 -25 Page 4 MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines Title V (Part 70) Area Source",The DAQ is conducting a 10 -year review to update the language and format. There are no changes to the operations taking place at the facility.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAQE-AN103470004-25,2025-04-09,https://daqpermitting.utah.gov/DocViewer?IntDocID=154272&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare - LDS Hospital(Site ID: 10347),"8th Ave, C St E",Salt Lake City,UT,84143,Jim Blankenau,(801) 484-6114,james.blankenau@imail.org,425718,4514535,12,NAD83,8062,"Intermountain Healthcare (IHC) is the owner and operator of the LDS Hospital, a 220 -bed, full -service, community hospital that offers a complete range of wellness, diagnostic, and treatment services in Salt Lake City, Salt Lake County. The hospital operates multiple natural gas - and fuel oil -fired boilers that provide comfort heating and hot water for the hospital and associated office buildings. The hospital operates multiple compression ignition, diesel -fired e mergency generators that provide backup power for the hospital and associated office buildings.",Administrative Amendment,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM 2.5 NAA, Salt Lake County SO 2 NAA Salt Lake County Airs Source Size: SM","NSPS (Part 60), A: General Provisions NSPS (Part 60), Dc: Standards of Perfo rmance for Small Industrial -Commercial -Institutional Steam Generating Units NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions DAQE -AN103470004 -25 Page 4 MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocat ing Internal Combustion Engines Title V (Part 70) Area Source","IHC has requested a Reduction in Air Pollutants under R307 -401-12 to Approval Order DAQE -AN103470003 -16, dated December 8, 2016, to replace two em ergency generators. The existing 610 hp (400 kW) NE Wing Emergency Generator Engine (Equipment ID# II.A.5 in the 2016 AO) will be replaced with an EPA -certified Tier 3 generator rated at 610 hp (400 kW). The existing 373 hp (250 kW) POB Emergency Generator Engine (Equipment ID# II.A.8 in the 2016 AO) will be replaced with an EPA -certified Tier 3 generator rated at 315 hp (200 kW). The above changes result in a net decrease in actual emissions for all criteria air pollutants and HAPs. This project meets t he requirements of UAC R307 -401-12 Reduction in Air Pollutants and does not require a public comment period.",-3.34,-0.17,-0.87,-0.05,-0.05,0.0,-0.03,0.0
DAQE-AN123770007-24,2024-10-07,https://daqpermitting.utah.gov/DocViewer?IntDocID=148991&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare - Logan Regional Hospital(Site ID: 12377),1400 North 500 East,Logan,UT,84341,Jim Blankenau,(801) 484-6114,james.blankenau@imail.org,431620,4623020,12,NAD83,8062,"Intermountain Healthcare (IHC) operates a full -service hospital in Logan. IHC operates several boilers at this facility for medical device sterilization, comfort heating, domestic hot water heating, and humidification. Diesel emergency generator engines on -site are used for backup power in the case of power outages.",Minor Modification at Minor Source,Located in Attainment Area Cache County Airs Source Size: B,"NSPS (Part 60), A: General Provisions NSPS (Part 60), Dc: Standards of Performance for Small Industrial -Commercial -Institutional Steam Generating Units NSPS (Part 60), IIII: Standards of Performance for Stat ionary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines Title V (Part 70) Area Source DAQE -AN123770007 -24 Page 4","This is a modification to add one (1) 20,00 0-gallon diesel underground storage tank (UST) and update a 12,000 -gallon UST. The 20,000 -gallon UST is used to store diesel fuel that runs the emergency generators and a steam boiler in the event of emergencies or natural gas utility interruptions, respec tively. In 2018, Compliance staff noted that the UST was on site. The source was informed that they would need to add the UST to their permit during a future modification. The source submitted a NOI in 2022 that included the UST, but the final AO did not include the UST. In the 2022 NOI, the source included a 10,000 -gallon UST that was in the final AO. During construction, the 10,000 -gallon UST was changed to 12,000 -gallon U ST. This change was not noted in the final AO.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAQE-AN129440003-19,2019-03-13,https://daqpermitting.utah.gov/DocViewer?IntDocID=113092&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare- Alta View Hospital(Site ID: 12944),9660 South 1300 East,Sandy,UT,84094,,(801) 501-2666,Ben.Scholes@imail.org,427693,4492153,12,,8062,"Intermountain Healthcare (IHC) operates the Alta Vi ew Hospital in Sandy, Utah. IHC has requested a new AO for the site following the addition of equip ment that brings the site PTE above the Small Sourc e Exemption (SSE) thresholds. The source consists of three (3) diesel-fired emergency generators and various hot water and steam boilers. The source is located in Salt Lake County, a NAA of the NAAQS for PM 2.5 , PM 10 , SO 2 and ozone and an attainment area for all other criteria pollutants. NSPS (40 CFR 60 Subpart A and IIII) and MACT (40 CFR 63 Subparts A and ZZZZ) regulations apply to th is source. NESHAP (40 CFR 61) regulations do not apply. Title V of the 1990 CAA does not apply. The PTE, in TPY, will be as follows: PM 10 = 1.48, PM 2.5 (subset of PM 10 ) = 1.48, NO x = 8.96, CO = 13.16, SO 2 = 0.12, VOC = 0.86, HAPs = 0.37, and CO 2e = 23,409. This air quality AO authorizes the project with the following conditions and failure to comply with an y of the conditions may constitute a violation of this o rder. This AO is issued to, and applies to the fol lowing: Name of Permittee: Intermountain Healthcare 36 South State Street Salt Lake City, UT 84111 Permitted Location: Alta View Hospital 9660 South 1300 East Sandy, UT 84094 UTM coordinates: 427,693 m Easting, 4,492,153 m Northing, UTM Zone 12 UTM Datum: NAD83 SIC code: 8062 (General Medical & Surgical Hospitals)",,,,,,2.0,,10.0,2.5,,,
DAQE-AN125050001-19,2019-09-24,https://daqpermitting.utah.gov/DocViewer?IntDocID=115606&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare- American Fork Hospital(Site ID: 12505),170 North 1100 East,American Fork,UT,84003,,(435) 315-8012,,434820,4470270,12,NAD83,8062,"Intermountain Healthcare American Fork Hospital pro vides a variety of medical services and will consis t of steam boilers, hot water boilers and emergency d iesel generators. The equipment on site is used to provide steam, hot water, and emergency power.",Minor Modification at Minor Source,"Located in Southern Wasatch Front O3 NAA, Utah Coun ty PM 10 NAA, Provo UT PM 2.5 NAA Utah County Airs Source Size: B","MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: NESHAP for Stationary Reciprocating Internal Combustion En gines","The modification includes updating emission calcula tions and equipment associated with past modifications. The source replaced four (4) smaller units with a combined capacity of 14 MMBtu/hr with two (2) dual-fuel 7.0 MMBtu/hr boilers in 2011. The permitted 770 HP diesel-fired emergency generator engine was replaced with a 749 HP emergency generat or engine in 2002. Two (2) diesel storage tanks (combined capacity of 30,000 gallons) are being add ed to the AO. One (1) 1,332 HP emergency generator was removed from the site. Two (2) natural gas 1MMB tu/hr hot water boilers were added in 2013. Two (2) duel-fuel 8.4MMBut/hr steam boilers remain on s ite.",17006.0,7.14,-16.29,-0.46,1.02,-5.34,-0.16,0.27
DAQE-AN126340002-19,2019-01-29,https://daqpermitting.utah.gov/DocViewer?IntDocID=112431&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare- Central Laundry Facility(Site ID: 12634),1180 W 2600 S,Woods Cross,UT,84087,,(801) 298-2661,David.Techmeyer@imail.org,422934,4523874,12,,3582,"Intermountain Healthcare (IHC) operates a central l aundry facility in Woods Cross, Utah. IHC has requested a modification to AO",,,,,,2.0,,10.0,2.5,,,
DAQE-AN122320004-16,2016-12-06,https://daqpermitting.utah.gov/DocViewer?IntDocID=98418&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare- IHC Lake Park Office Complex(Site ID: 12232),4646 West Lake Park Blvd,West Valley City,UT,84119,,(801) 442-6979,shawn.folkman@imail.org,415295,4507331,12,,1542,"Intermountain Healthcare (IHC) has requested a modi fication to Approval Order,",,,,,,2.0,,10.0,2.5,,,
,2020-05-14,https://daqpermitting.utah.gov/DocViewer?IntDocID=118871&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare- Layton Hospital(Site ID: 16002),201 West Layton Parkway,Layton,UT,84041,,,,,,,,,,,,,,,,,,,,,
DAQE-AN160650001-22,2022-04-11,https://daqpermitting.utah.gov/DocViewer?IntDocID=129848&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare- Primary Children's Lehi Hospital(Site ID: 16065),2250 N. Miller Campus Drive,Lehi,UT,84043,,(801) 442-3896,,423700,4474200,1,NAD83,8062,"Intermountain Healthcare has requested to open Primary Children's Hospital Lehi, a new full -service hospital. The building will consist of a new hospital connected to a medical office building. The emissions are primarily associated with comfort heating and emergency power equipment. The facility contains a Central Utility Plant that houses dual fuel boilers, emergency diesel generators, and storage tanks.",New Minor Source,"Located in Northern Wasatch Front O3 NAA, Provo UT PM 2.5 NAA Utah County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines DAQE -AN160650001 -22 Page 4","Intermountain Healthcare has requested to construct a new full -service ho spital. Emissions from this facility are primarily NO x and CO associated with natural gas and diesel combustion. Equipment on -site will include: 1. Two (2) 7 MMBtu/hr dual fuel natural gas/diesel steam boilers 2. Five (5) 6 MMBtu/hr dual fuel natural g as/diesel condensing hot water boilers 3. Four (4) 1.000 kW emergency diesel generators 4. Two (2) 25,000 -gallon underground storage tanks",24840.0,18.92,10.59,0.87,0.87,2.29,1.05,0.36
DAQE-AN160490001-21,2021-10-27,https://daqpermitting.utah.gov/DocViewer?IntDocID=126725&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare- Riverton Hospital(Site ID: 16049),3741 West 12600 South,Riverton,UT,84065,,(801) 442-3896,,416909,4485873,12,NAD83,8062,"Intermountain Healthcare operates a full -service hospital located in Riverton. It consists of a new hospital and a medical office building. Emissions are primarily associated with heating and emergency power equipment. The facility contains dual -fuel boilers and heaters, diesel -fired emergency generator engines, and an underground fuel storage tank.",................................ ................................ ................................ .................. 3,................................ ................................ ................................ .............. 3,"NSPS (Part 60), A: General Provisions NSPS (Part 60), Dc: Standards of Performance for Small Industrial -Commercial -Institutional Steam Generating Units NSPS (Part 60), JJJJ: Standards of Performance for Stationary Spark Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: NESHAP for Stationary Reciprocating Internal Combustion Engines DAQE -AN160490001 -21 Page 4","Intermountain Healthcare has requested to operate a full -service hospital located in Riverton. Emissions from this facility are primarily associated with natural gas and die sel combustion for building heat, medical sterilization, and back -up power. Equipment at the site consist s of two (2) dual -fuel steam boilers and two (2) emergency diesel generator engines.",35214.61,21.9,13.96,2.26,2.26,1.3,1.66,0.55
DAQE-AN159550001-19,2019-07-29,https://daqpermitting.utah.gov/DocViewer?IntDocID=114821&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare- Spanish Fork Hospital(Site ID: 15955),765 East Market Place Drive,Spanish Fork,UT,84660,,(801) 442-3892,,445557,4442353,12,NAD83,8062,"Intermountain Healthcare (IHC) has requested to con struct a new hospital and medical office buildings in Spanish Fork, Utah. The site will provide a variety of medical services and will consist of three (3) 1,111kW (1,490 HP) diesel-fired emergency generator engines, four (4) 5 MMBtu/hr dual-fuel hot water boilers, two (2) 4.5 MMBtu/hr dual-fuel steam boile rs, and various natural gas-fired boilers with a ra ting of less than 5 MMBtu/hr. The equipment on site is u sed to provide steam, hot water, and emergency power.",New Minor Source,"Located in Southern Wasatch Front O3 NAA, Utah Coun ty PM 10 NAA, Provo UT PM 2.5 NAA Utah County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: NESHAP for Stationary Reciprocating Internal Combustion En gines DAQE-AN159550001-19 Page 4","IHC will operate a hospital in Spanish Fork, Utah. Boilers supply steam and hot water for the hospital and are primarily fired on natural gas with some using diesel as a backup fuel. Diesel-fired emergency generator engines are used to supply the site with electricity in the case of a power interruption.",,5.35,8.82,2.62,2.62,0.19,0.73,0.29
DAQE-AN108170003-18,2018-12-17,https://daqpermitting.utah.gov/DocViewer?IntDocID=111994&contentType=application/pdf,Intermountain Health Care,Intermountain Healthcare- Utah Valley Hospital(Site ID: 10817),1034 North 500 West,Provo,UT,84604,,(801) 357-4273,matt.lowder@imail.org,443400,4455500,12,,8062,"Intermountain Healthcare (IHC) operates the Utah Va lley Hospital in Provo, Utah. IHC has requested to modify AO",,,,,,2.0,,10.0,2.5,,,
DAQE-AN133080004-19,2019-01-07,https://daqpermitting.utah.gov/DocViewer?IntDocID=112161&contentType=application/pdf,Intermountain Health Care,Intermountain Medical Center- Murray Hospital(Site ID: 13308),5121 South Cottonwood Street,Murray,UT,84107,,(801) 507-4923,Braxton.Hall@imail.org,424612,4501039,12,,8069,"Intermountain Healthcare (IHC) operates the Intermo untain Medical Center in Murray, Utah. IHC has requested to modify AO",,,,,,2.0,,10.0,2.5,,,
